> #summary of model 
> summary(model_gbm)
                                                                                var     rel.inf
SHOT_DIST                                                                 SHOT_DIST 58.57271156
CLOSE_DEF_DIST                                                       CLOSE_DEF_DIST 25.75650712
TOUCH_TIME                                                               TOUCH_TIME  7.18030084
SHOT_CLOCK                                                               SHOT_CLOCK  6.52458913
GAME_CLOCK                                                               GAME_CLOCK  0.51165554
CLOSEST_DEFENDERBURKE, TREY                             CLOSEST_DEFENDERBURKE, TREY  0.16928882
CLOSEST_DEFENDERCALDERON, JOSE                       CLOSEST_DEFENDERCALDERON, JOSE  0.15886905
player_nameJAMES, LEBRON                                   player_nameJAMES, LEBRON  0.14091808
player_nameJOHNSON, JAMES                                 player_nameJOHNSON, JAMES  0.11077739
CLOSEST_DEFENDERKNIGHT, BRANDON                     CLOSEST_DEFENDERKNIGHT, BRANDON  0.09174702
PERIOD4                                                                     PERIOD4  0.09165829
DRIBBLES                                                                   DRIBBLES  0.09076078
player_nameASIK, OMER                                         player_nameASIK, OMER  0.09009405
player_nameWILLIAMS, DERON                               player_nameWILLIAMS, DERON  0.08550141
CLOSEST_DEFENDERHARDAWAY JR, TIM                   CLOSEST_DEFENDERHARDAWAY JR, TIM  0.08184776
player_namePAUL, CHRIS                                       player_namePAUL, CHRIS  0.07969367
player_nameKORVER, KYLE                                     player_nameKORVER, KYLE  0.07759156
CLOSEST_DEFENDERBOGUT, ANDREW                         CLOSEST_DEFENDERBOGUT, ANDREW  0.07216571
player_nameCURRY, STEPHEN                                 player_nameCURRY, STEPHEN  0.06394924
player_nameAJINCA, ALEXIS                                 player_nameAJINCA, ALEXIS  0.04937298
LOCATIONH                                                                 LOCATIONH  0.00000000
PERIOD2                                                                     PERIOD2  0.00000000
PERIOD3                                                                     PERIOD3  0.00000000
PERIOD5                                                                     PERIOD5  0.00000000
PERIOD6                                                                     PERIOD6  0.00000000
PERIOD7                                                                     PERIOD7  0.00000000
PTS_TYPE3                                                                 PTS_TYPE3  0.00000000
CLOSEST_DEFENDERADAMS, JORDAN                         CLOSEST_DEFENDERADAMS, JORDAN  0.00000000
CLOSEST_DEFENDERADAMS, STEVEN                         CLOSEST_DEFENDERADAMS, STEVEN  0.00000000
CLOSEST_DEFENDERADRIEN, JEFF                           CLOSEST_DEFENDERADRIEN, JEFF  0.00000000
CLOSEST_DEFENDERAFFLALO, ARRON                       CLOSEST_DEFENDERAFFLALO, ARRON  0.00000000
CLOSEST_DEFENDERAJINCA, ALEXIS                       CLOSEST_DEFENDERAJINCA, ALEXIS  0.00000000
CLOSEST_DEFENDERALDEMIR, FURKAN                     CLOSEST_DEFENDERALDEMIR, FURKAN  0.00000000
CLOSEST_DEFENDERALDRICH, COLE                         CLOSEST_DEFENDERALDRICH, COLE  0.00000000
CLOSEST_DEFENDERALDRIDGE, LAMARCUS               CLOSEST_DEFENDERALDRIDGE, LAMARCUS  0.00000000
CLOSEST_DEFENDERALLEN, LAVOY                           CLOSEST_DEFENDERALLEN, LAVOY  0.00000000
CLOSEST_DEFENDERALLEN, TONY                             CLOSEST_DEFENDERALLEN, TONY  0.00000000
CLOSEST_DEFENDERAMINU, AL-FAROUQ                   CLOSEST_DEFENDERAMINU, AL-FAROUQ  0.00000000
CLOSEST_DEFENDERAMUNDSON, LOU                         CLOSEST_DEFENDERAMUNDSON, LOU  0.00000000
CLOSEST_DEFENDERANDERSEN, CHRIS                     CLOSEST_DEFENDERANDERSEN, CHRIS  0.00000000
CLOSEST_DEFENDERANDERSON, ALAN                       CLOSEST_DEFENDERANDERSON, ALAN  0.00000000
CLOSEST_DEFENDERANDERSON, KYLE                       CLOSEST_DEFENDERANDERSON, KYLE  0.00000000
CLOSEST_DEFENDERANDERSON, RYAN                       CLOSEST_DEFENDERANDERSON, RYAN  0.00000000
CLOSEST_DEFENDERANTETOKOUNMPO, GIANNIS       CLOSEST_DEFENDERANTETOKOUNMPO, GIANNIS  0.00000000
CLOSEST_DEFENDERANTHONY, CARMELO                   CLOSEST_DEFENDERANTHONY, CARMELO  0.00000000
CLOSEST_DEFENDERANTHONY, JOEL                         CLOSEST_DEFENDERANTHONY, JOEL  0.00000000
CLOSEST_DEFENDERANTIC, PERO                             CLOSEST_DEFENDERANTIC, PERO  0.00000000
