"","id_site","module_presentation","activity_type","week_from","week_to"
"1",546943,"AAA+2013J","resource",NA,NA
"2",546712,"AAA+2013J","oucontent",NA,NA
"3",546998,"AAA+2013J","resource",NA,NA
"4",546888,"AAA+2013J","url",NA,NA
"5",547035,"AAA+2013J","resource",NA,NA
"6",546614,"AAA+2013J","homepage",NA,NA
"7",546897,"AAA+2013J","url",NA,NA
"8",546678,"AAA+2013J","oucontent",NA,NA
"9",546933,"AAA+2013J","resource",NA,NA
"10",546708,"AAA+2013J","oucontent",NA,NA
"11",546995,"AAA+2013J","resource",NA,NA
"12",546884,"AAA+2013J","url",NA,NA
"13",547031,"AAA+2013J","resource",NA,NA
"14",546891,"AAA+2013J","url",NA,NA
"15",546675,"AAA+2013J","oucontent",NA,NA
"16",546927,"AAA+2013J","resource",NA,NA
"17",546705,"AAA+2013J","oucontent",NA,NA
"18",546991,"AAA+2013J","resource",NA,NA
"19",546876,"AAA+2013J","subpage",NA,NA
"20",547027,"AAA+2013J","resource",NA,NA
"21",546671,"AAA+2013J","oucontent",NA,NA
"22",546923,"AAA+2013J","resource",NA,NA
"23",546702,"AAA+2013J","oucontent",NA,NA
"24",546988,"AAA+2013J","resource",NA,NA
"25",546872,"AAA+2013J","subpage",NA,NA
"26",547024,"AAA+2013J","resource",NA,NA
"27",546668,"AAA+2013J","oucontent",NA,NA
"28",546920,"AAA+2013J","resource",NA,NA
"29",546699,"AAA+2013J","oucontent",NA,NA
"30",546985,"AAA+2013J","resource",NA,NA
"31",546739,"AAA+2013J","oucontent",NA,NA
"32",547021,"AAA+2013J","resource",NA,NA
"33",546665,"AAA+2013J","oucontent",NA,NA
"34",546917,"AAA+2013J","resource",NA,NA
"35",546695,"AAA+2013J","oucontent",NA,NA
"36",546982,"AAA+2013J","resource",NA,NA
"37",546736,"AAA+2013J","oucontent",NA,NA
"38",547018,"AAA+2013J","resource",NA,NA
"39",546661,"AAA+2013J","glossary",NA,NA
"40",546692,"AAA+2013J","oucontent",NA,NA
"41",546972,"AAA+2013J","resource",NA,NA
"42",546733,"AAA+2013J","oucontent",NA,NA
"43",547014,"AAA+2013J","resource",NA,NA
"44",546658,"AAA+2013J","forumng",NA,NA
"45",546914,"AAA+2013J","resource",NA,NA
"46",546689,"AAA+2013J","oucontent",NA,NA
"47",546968,"AAA+2013J","resource",NA,NA
"48",546728,"AAA+2013J","oucontent",NA,NA
"49",547011,"AAA+2013J","resource",NA,NA
"50",547066,"AAA+2013J","oucollaborate",NA,NA
"51",546655,"AAA+2013J","forumng",NA,NA
"52",546910,"AAA+2013J","resource",NA,NA
"53",546686,"AAA+2013J","oucontent",NA,NA
"54",546961,"AAA+2013J","resource",NA,NA
"55",546723,"AAA+2013J","oucontent",NA,NA
"56",547007,"AAA+2013J","resource",NA,NA
"57",547048,"AAA+2013J","dataplus",NA,NA
"58",546652,"AAA+2013J","forumng",NA,NA
"59",546906,"AAA+2013J","resource",NA,NA
"60",546954,"AAA+2013J","resource",NA,NA
"61",546717,"AAA+2013J","oucontent",NA,NA
"62",547004,"AAA+2013J","resource",NA,NA
"63",547042,"AAA+2013J","resource",NA,NA
"64",546649,"AAA+2013J","forumng",NA,NA
"65",546903,"AAA+2013J","url",NA,NA
"66",546683,"AAA+2013J","oucontent",NA,NA
"67",546948,"AAA+2013J","resource",NA,NA
"68",546714,"AAA+2013J","oucontent",NA,NA
"69",547001,"AAA+2013J","resource",NA,NA
"70",547037,"AAA+2013J","resource",NA,NA
"71",546645,"AAA+2013J","forumng",NA,NA
"72",546899,"AAA+2013J","url",NA,NA
"73",546680,"AAA+2013J","oucontent",NA,NA
"74",546942,"AAA+2013J","resource",NA,NA
"75",546711,"AAA+2013J","oucontent",NA,NA
"76",546997,"AAA+2013J","resource",NA,NA
"77",546887,"AAA+2013J","url",NA,NA
"78",547034,"AAA+2013J","resource",NA,NA
"79",546896,"AAA+2013J","url",NA,NA
"80",546677,"AAA+2013J","oucontent",NA,NA
"81",546930,"AAA+2013J","resource",NA,NA
"82",546707,"AAA+2013J","oucontent",NA,NA
"83",546994,"AAA+2013J","resource",NA,NA
"84",546883,"AAA+2013J","url",NA,NA
"85",547030,"AAA+2013J","resource",NA,NA
"86",546890,"AAA+2013J","url",NA,NA
"87",546674,"AAA+2013J","oucontent",NA,NA
"88",546925,"AAA+2013J","resource",NA,NA
"89",546704,"AAA+2013J","oucontent",NA,NA
"90",546990,"AAA+2013J","resource",NA,NA
"91",546874,"AAA+2013J","subpage",NA,NA
"92",547026,"AAA+2013J","resource",NA,NA
"93",546670,"AAA+2013J","oucontent",NA,NA
"94",546922,"AAA+2013J","resource",NA,NA
"95",546701,"AAA+2013J","oucontent",NA,NA
"96",546987,"AAA+2013J","resource",NA,NA
"97",546871,"AAA+2013J","subpage",NA,NA
"98",547023,"AAA+2013J","resource",NA,NA
"99",546667,"AAA+2013J","oucontent",NA,NA
"100",546919,"AAA+2013J","resource",NA,NA
"101",546697,"AAA+2013J","oucontent",NA,NA
"102",546984,"AAA+2013J","resource",NA,NA
"103",546738,"AAA+2013J","oucontent",NA,NA
"104",547020,"AAA+2013J","resource",NA,NA
"105",546664,"AAA+2013J","oucontent",NA,NA
"106",546694,"AAA+2013J","oucontent",NA,NA
"107",546975,"AAA+2013J","resource",NA,NA
"108",546735,"AAA+2013J","oucontent",NA,NA
"109",547017,"AAA+2013J","resource",NA,NA
"110",546660,"AAA+2013J","glossary",NA,NA
"111",546916,"AAA+2013J","resource",NA,NA
"112",546691,"AAA+2013J","oucontent",NA,NA
"113",546971,"AAA+2013J","resource",NA,NA
"114",546732,"AAA+2013J","oucontent",2,2
"115",547013,"AAA+2013J","resource",NA,NA
"116",546657,"AAA+2013J","forumng",NA,NA
"117",546913,"AAA+2013J","resource",NA,NA
"118",546688,"AAA+2013J","oucontent",NA,NA
"119",546966,"AAA+2013J","resource",NA,NA
"120",546726,"AAA+2013J","oucontent",NA,NA
"121",547009,"AAA+2013J","resource",NA,NA
"122",547050,"AAA+2013J","dataplus",NA,NA
"123",546654,"AAA+2013J","forumng",NA,NA
"124",546909,"AAA+2013J","resource",NA,NA
"125",546685,"AAA+2013J","oucontent",NA,NA
"126",546960,"AAA+2013J","resource",NA,NA
"127",546721,"AAA+2013J","oucontent",NA,NA
"128",547006,"AAA+2013J","resource",NA,NA
"129",547047,"AAA+2013J","dataplus",NA,NA
"130",546651,"AAA+2013J","forumng",NA,NA
"131",546905,"AAA+2013J","url",NA,NA
"132",546952,"AAA+2013J","resource",NA,NA
"133",546716,"AAA+2013J","oucontent",NA,NA
"134",547003,"AAA+2013J","resource",NA,NA
"135",547040,"AAA+2013J","resource",NA,NA
"136",546648,"AAA+2013J","forumng",NA,NA
"137",546901,"AAA+2013J","url",NA,NA
"138",546682,"AAA+2013J","oucontent",NA,NA
"139",546947,"AAA+2013J","resource",NA,NA
"140",546713,"AAA+2013J","oucontent",NA,NA
"141",547000,"AAA+2013J","resource",NA,NA
"142",546889,"AAA+2013J","url",NA,NA
"143",547036,"AAA+2013J","resource",NA,NA
"144",546644,"AAA+2013J","forumng",NA,NA
"145",546898,"AAA+2013J","url",NA,NA
"146",546679,"AAA+2013J","oucontent",NA,NA
"147",546935,"AAA+2013J","resource",NA,NA
"148",546709,"AAA+2013J","oucontent",NA,NA
"149",546996,"AAA+2013J","resource",NA,NA
"150",546885,"AAA+2013J","url",NA,NA
"151",547032,"AAA+2013J","resource",NA,NA
"152",546894,"AAA+2013J","url",NA,NA
"153",546676,"AAA+2013J","oucontent",NA,NA
"154",546928,"AAA+2013J","resource",NA,NA
"155",546706,"AAA+2013J","oucontent",NA,NA
"156",546992,"AAA+2013J","resource",NA,NA
