"","code_module","code_presentation","id_student","gender","region","highest_education","imd_band","age_band","num_of_prev_attempts","studied_credits","disability","final_result"
"18847","DDD","2014J",679388,"F","South West Region","A Level or Equivalent","30-40%","0-35",0,120,"N","Withdrawn"
"18895","DDD","2014J",681729,"F","South Region","A Level or Equivalent","40-50%","35-55",0,90,"N","Distinction"
"26803","FFF","2014B",598353,"M","West Midlands Region","HE Qualification","40-50%","35-55",1,150,"N","Fail"
"25102","FFF","2013J",581342,"M","East Anglian Region","Lower Than A Level","50-60%","0-35",0,120,"N","Fail"
"28867","FFF","2014J",648661,"M","South West Region","Lower Than A Level","0-10%","35-55",0,60,"Y","Fail"
"2986","BBB","2013J",484412,"F","South West Region","A Level or Equivalent","0-10%","35-55",0,120,"N","Pass"
"1842","BBB","2013B",544989,"M","West Midlands Region","A Level or Equivalent","40-50%","35-55",0,60,"N","Fail"
"25718","FFF","2013J",602734,"M","West Midlands Region","HE Qualification","10-20","0-35",0,150,"N","Fail"
"3371","BBB","2013J",559414,"F","Scotland","HE Qualification","0-10%","35-55",0,60,"N","Pass"
"29925","FFF","2014J",2067799,"F","East Midlands Region","Lower Than A Level","70-80%","35-55",0,60,"Y","Fail"
"29940","FFF","2014J",2143440,"M","South West Region","Lower Than A Level","40-50%","0-35",0,60,"N","Pass"
"29710","FFF","2014J",692632,"M","South Region","A Level or Equivalent","10-20","0-35",0,60,"N","Fail"
"11638","CCC","2014J",594326,"M","West Midlands Region","A Level or Equivalent","60-70%","0-35",1,60,"N","Pass"
"4761","BBB","2014B",60416,"F","East Anglian Region","Lower Than A Level","60-70%","0-35",1,60,"N","Pass"
"6746","BBB","2014J",526844,"F","North Western Region","A Level or Equivalent","60-70%","0-35",2,60,"N","Withdrawn"
"26203","FFF","2014B",34293,"M","West Midlands Region","Lower Than A Level","60-70%","0-35",0,60,"Y","Withdrawn"
"16128","DDD","2013J",1684787,"M","South West Region","HE Qualification","40-50%","35-55",0,90,"N","Withdrawn"
"2757","BBB","2013J",340911,"F","Ireland","A Level or Equivalent","10-20","0-35",0,120,"N","Pass"
"21491","EEE","2014J",629535,"M","East Midlands Region","HE Qualification","10-20","0-35",0,60,"N","Pass"
"29787","FFF","2014J",696082,"M","South Region","A Level or Equivalent","","0-35",0,60,"N","Pass"
"25529","FFF","2013J",596296,"M","North Western Region","A Level or Equivalent","70-80%","0-35",0,90,"Y","Fail"
"12636","CCC","2014J",686003,"F","South West Region","A Level or Equivalent","50-60%","0-35",0,210,"N","Withdrawn"
"9209","CCC","2014B",513854,"M","East Anglian Region","Lower Than A Level","10-20","35-55",0,90,"N","Withdrawn"
"32393","GGG","2014J",683336,"F","East Midlands Region","A Level or Equivalent","90-100%","0-35",0,30,"N","Distinction"
"10205","CCC","2014B",630152,"M","Ireland","A Level or Equivalent","50-60%","0-35",0,90,"N","Fail"
"13667","DDD","2013B",512404,"F","North Western Region","A Level or Equivalent","0-10%","0-35",0,180,"Y","Withdrawn"
"2888","BBB","2013J",424539,"F","West Midlands Region","Lower Than A Level","0-10%","0-35",2,120,"N","Pass"
"6170","BBB","2014B",634486,"F","East Anglian Region","HE Qualification","40-50%","35-55",0,60,"N","Withdrawn"
"18951","DDD","2014J",685069,"F","South East Region","A Level or Equivalent","20-30%","0-35",0,120,"Y","Withdrawn"
"9642","CCC","2014B",588676,"M","Scotland","HE Qualification","80-90%","0-35",0,90,"N","Pass"
"30345","GGG","2013J",576371,"M","East Midlands Region","Lower Than A Level","60-70%","0-35",0,60,"Y","Fail"
"26366","FFF","2014B",353979,"M","London Region","Lower Than A Level","20-30%","0-35",0,90,"N","Fail"
"12499","CCC","2014J",678089,"F","East Anglian Region","A Level or Equivalent","0-10%","0-35",0,120,"N","Distinction"
"19364","EEE","2013J",26915,"M","Wales","Lower Than A Level","0-10%","35-55",0,30,"N","Fail"
"1614","BBB","2013B",533996,"F","West Midlands Region","Lower Than A Level","20-30%","35-55",0,60,"N","Withdrawn"
"31313","GGG","2014B",612797,"F","North Western Region","Lower Than A Level","0-10%","0-35",0,30,"N","Pass"
"16939","DDD","2014B",609194,"F","Yorkshire Region","Lower Than A Level","0-10%","0-35",0,120,"N","Pass"
"14183","DDD","2013B",957467,"M","Scotland","HE Qualification","20-30%","35-55",0,90,"N","Pass"
"20853","EEE","2014B",623609,"M","North Western Region","Lower Than A Level","50-60%","35-55",0,60,"N","Fail"
"15180","DDD","2013J",544155,"M","North Western Region","Lower Than A Level","10-20","0-35",0,120,"N","Withdrawn"
"9359","CCC","2014B",549636,"F","East Midlands Region","A Level or Equivalent","40-50%","0-35",0,60,"Y","Withdrawn"
"27168","FFF","2014B",625043,"M","London Region","HE Qualification","10-20","0-35",0,60,"N","Withdrawn"
"27114","FFF","2014B",622918,"M","South East Region","Lower Than A Level","50-60%","0-35",0,60,"Y","Withdrawn"
"24173","FFF","2013J",334476,"F","London Region","A Level or Equivalent","70-80%","0-35",0,60,"N","Pass"
"9991","CCC","2014B",620440,"M","North Western Region","Lower Than A Level","0-10%","0-35",0,60,"N","Fail"
"9097","CCC","2014B",476868,"F","Wales","Lower Than A Level","10-20","35-55",0,60,"Y","Withdrawn"
"15273","DDD","2013J",560458,"F","South East Region","A Level or Equivalent","90-100%","0-35",0,60,"N","Pass"
"30538","GGG","2013J",589126,"F","South Region","A Level or Equivalent","70-80%","35-55",0,30,"N","Distinction"
"17431","DDD","2014B",1804143,"M","North Western Region","A Level or Equivalent","20-30%","35-55",1,60,"Y","Withdrawn"
"23451","FFF","2013B",550495,"M","West Midlands Region","Lower Than A Level","70-80%","35-55",0,60,"N","Distinction"
"3004","BBB","2013J",489320,"F","South Region","Lower Than A Level","70-80%","0-35",1,60,"Y","Pass"
"28981","FFF","2014J",651419,"M","Wales","Lower Than A Level","90-100%","0-35",0,60,"N","Pass"
"19591","EEE","2013J",486964,"M","Scotland","Lower Than A Level","50-60%","0-35",0,60,"N","Fail"
"7989","BBB","2014J",683792,"F","East Midlands Region","Lower Than A Level","50-60%","0-35",0,60,"N","Withdrawn"
"3995","BBB","2013J",593266,"F","South Region","Lower Than A Level","90-100%","0-35",0,60,"N","Withdrawn"
"13536","DDD","2013B",474464,"M","South Region","Lower Than A Level","90-100%","35-55",0,60,"N","Pass"
"8358","BBB","2014J",695148,"F","Ireland","Lower Than A Level","70-80%","0-35",0,60,"N","Pass"
"16601","DDD","2014B",490164,"F","South East Region","Lower Than A Level","90-100%","0-35",1,120,"Y","Fail"
"25890","FFF","2013J",608698,"M","East Anglian Region","A Level or Equivalent","90-100%","0-35",0,60,"N","Pass"
"24541","FFF","2013J",524379,"F","London Region","Lower Than A Level","80-90%","0-35",0,210,"N","Withdrawn"
"10821","CCC","2014J",341361,"M","London Region","HE Qualification","10-20","35-55",0,60,"N","Withdrawn"
"6216","BBB","2014B",1431750,"M","West Midlands Region","A Level or Equivalent","60-70%","55<=",2,60,"N","Fail"
"25164","FFF","2013J",583526,"M","North Western Region","Lower Than A Level","0-10%","0-35",0,60,"N","Pass"
"17983","DDD","2014J",530807,"M","South Region","A Level or Equivalent","50-60%","0-35",0,120,"N","Withdrawn"
"20621","EEE","2014B",565838,"M","East Midlands Region","A Level or Equivalent","50-60%","0-35",0,60,"N","Fail"
"29394","FFF","2014J",681341,"M","East Midlands Region","A Level or Equivalent","40-50%","0-35",0,60,"N","Fail"
"20321","EEE","2013J",1073766,"M","East Midlands Region","HE Qualification","80-90%","35-55",0,60,"N","Pass"
