CLOSEST_DEFENDER,player_name,LOCATION,SHOT_NUMBER,PERIOD,GAME_CLOCK,SHOT_CLOCK,DRIBBLES,TOUCH_TIME
"ACY, QUINCY","ACY, QUINCY",A,1,1,0,0,0,0.1
"ADAMS, JORDAN","ADAMS, STEVE",H,2,2,1,0.1,1,0.2
"ADAMS, STEVEN","AFFLALO, ARRON",,3,3,2,0.2,2,0.3
"ADRIEN, JEFF","AJINCA, ALEXIS",,4,4,3,0.3,3,0.4
"AFFLALO, ARRON","ALDRICH, COLE",,5,5,4,0.4,4,0.5
"AJINCA, ALEXIS","ALDRIDGE, LAMARCUS",,6,6,5,0.5,5,0.6
"ALDEMIR, FURKAN","ALLEN, LAVOY",,7,7,6,0.6,6,0.7
"ALDRICH, COLE","ALLEN, TONY",,8,,7,0.7,7,0.8
"ALDRIDGE, LAMARCUS","AMINU, AL",,9,,8,0.8,8,0.9
"ALLEN, LAVOY","ANDERSEN, CHRIS",,10,,9,0.9,9,1
"ALLEN, TONY","ANDERSON, ALAN",,11,,10,1,10,1.1
"AMINU, AL-FAROUQ","ANDERSON, RYAN",,12,,11,1.1,11,1.2
"AMUNDSON, LOU","ANTETOKOUNMPO, GIANNIS",,13,,12,1.2,12,1.3
"ANDERSEN, CHRIS","ANTHONY, CARMELO",,14,,13,1.3,13,1.4
"ANDERSON, ALAN","ANTIC, PERO",,15,,14,1.4,14,1.5
"ANDERSON, KYLE","ARIZA, TREVOR",,16,,15,1.5,15,1.6
"ANDERSON, RYAN","ARTHUR, DARRELL",,17,,16,1.6,16,1.7
"ANTETOKOUNMPO, GIANNIS","ASIK, OMER",,18,,17,1.7,17,1.8
"ANTHONY, CARMELO","AUGUSTIN, DJ",,19,,18,1.8,18,1.9
"ANTHONY, JOEL","BABBITT, LUKE",,20,,19,1.9,19,2
"ANTIC, PERO","BARBOSA, LEANDRO",,21,,20,2,20,2.1
"ARIZA, TREVOR","BAREA, JOSE",,22,,21,2.1,21,2.2
"ARTHUR, DARRELL","BARNES, HARRISON",,23,,22,2.2,22,2.3
"ASIK, OMER","BARNES, MATT",,24,,23,2.3,23,2.4
"AUGUSTIN, DJ","BASS, BRANDON",,25,,24,2.4,24,2.5
"AYRES, JEFF","BATUM, NICOLAS",,26,,25,2.5,25,2.6
"BABBITT, LUKE","BAYLESS, JERRYD",,27,,26,2.6,26,2.7
"BAIRSTOW, CAMERON","BAYNES, ARON",,28,,27,2.7,27,2.8
"BARBOSA, LEANDRO","BAZEMORE, KENT",,29,,28,2.8,28,2.9
"BAREA, JOSE JUAN","BEAL, BRADLEY",,30,,29,2.9,29,3
"BARGNANI, ANDREA","BELINELLI, MARCO",,31,,30,3,30,3.1
"BARNES, HARRISON","BENNETT, ANTHONY",,32,,31,3.1,31,3.2
"BARNES, MATT","BEVERLEY, PATRICK",,33,,32,3.2,32,3.3
"BARRON, EARL","BIYOMBO, BISMACK",,34,,33,3.3,,3.4
"BARTON, WILL","BLAKE, STEVE",,35,,34,3.4,,3.5
"BASS, BRANDON","BLEDSOE, ERIC",,36,,35,3.5,,3.6
